run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p_high,1.0,38.98334,2305532.820568716,369916.03198211535,2335020.2263442883,0.16044709000970392,1.0917373329616267,0.1518628571428966
tf_015p_high,1.3895,39.010009999999994,2378423.2552615963,371143.2710619091,2407206.78563843,0.15604593095062386,1.1239846986119921,0.15166000000003943
tf_015p_high,1.9307,38.9965,2455606.881169691,388605.4048009947,2486165.5848894063,0.1582522869523351,1.157219461972716,0.15118535714289644
tf_015p_high,2.6827,39.00833,2530119.607786097,398503.9557945195,2561310.335060465,0.15750399884976904,1.2058387992536765,0.15291535714289686
tf_015p_high,3.72759,38.98676999999999,2614586.2791312775,412719.1802914085,2646960.243902796,0.15785257636574862,1.2344180971714627,0.15147428571432509
tf_015p_high,5.17947,38.98852,2695616.4519200423,433182.17541026283,2730200.515155465,0.16069874299131628,1.2760863647774858,0.15181321428575373
tf_015p_high,7.19686,39.00581,2772475.1816299283,469560.9367308547,2811957.6999054346,0.1693652444004211,1.3165533944046224,0.15207357142861094
tf_015p_high,10.0,38.987610000000004,2874590.2292014826,507055.298275214,2918967.9788119635,0.17639220126900182,1.3454112458808458,0.14970964285718177
tf_015p_high,13.895,38.99601,2963023.150432359,551833.9275008338,3013971.9430577145,0.1862401673845549,1.4034077592451515,0.15124071428575359
tf_015p_high,19.307,39.003989999999995,3036334.5059326566,609722.9223285161,3096948.3808953185,0.20080887699862646,1.4578312522236956,0.15289642857146832
tf_015p_high,26.827,38.982429999999994,3131038.014406123,693965.5671139769,3207021.5552746234,0.22164073509200247,1.4979317829673038,0.15171000000003942
tf_015p_high,37.2759,39.00489999999999,3226808.1571940077,762429.4345002922,3315658.234186121,0.23627975304341967,1.5550136435044444,0.15233107142861102
tf_015p_high,51.7947,38.98474,3293867.9953299887,898756.4685387919,3414283.169334307,0.27285746417677914,1.599011569246274,0.1521164285714681
tf_015p_high,71.9686,38.98313,3306449.2156981598,959558.2817939209,3442870.6789756534,0.2902080809946174,1.6221517536856975,0.15303642857146832
tf_015p_high,100.0,38.99454,3538034.41608987,1099008.0624629364,3704795.0349236494,0.3106267303294147,1.8179858579974524,0.15938607142861286
tf_015p_high,0.1,45.97578,1637829.0170792923,289136.7682628589,1663154.821400705,0.17653660134711172,0.7716069811502237,0.1506910714286106
tf_015p_high,0.13895,45.95842,1716766.4230047138,294101.565221694,1741775.72661415,0.17131134514324461,0.6523149692330454,0.12164357142860305
tf_015p_high,0.19307,45.948899999999995,1765602.047327362,301804.286130295,1791210.8800063685,0.17093562311345534,0.8424369232855691,0.15276178571432542
tf_015p_high,0.26827,45.97235,1823569.8031737779,308166.6718680304,1849425.1876454665,0.16899088333865306,0.8624058483766703,0.1514603571428965
tf_015p_high,0.372759,45.982569999999996,1884922.5887278516,317476.01156089734,1911471.73230815,0.16842920418029703,0.8989366948625068,0.15275142857146828
tf_015p_high,0.517947,45.99111,1945647.9050773059,316923.2027119518,1971290.4623491967,0.16288826045294127,0.9274933921564755,0.15282142857146827
